code,ballot,party,votes
DC14,N,UCDP,83
DC14,N,UDM,3199
DC14,N,UIF,63
DC14,N,VF+,355
DC14,N,WF,35
DC14,P,ACDP,439
DC14,P,AIC,1061
DC14,P,ANC,86865
DC14,P,APC,328
DC14,P,AZAPO,211
DC14,P,CDA,82
DC14,P,COPE,11070
DC14,P,DA,4783
DC14,P,ID,128
DC14,P,IFP,162
DC14,P,NADECO,148
DC14,P,NVP,100
DC14,P,PAC,952
DC14,P,PAM,68
DC14,P,UCDP,92
DC14,P,UDM,3187
DC14,P,VF+,251
DC15,N,ACDP,2352
DC15,N,AFD,104
DC15,N,AJ,119
DC15,N,ANC,412540
DC15,N,AP,83
DC15,N,APC,1390
DC15,N,AZAPO,426
DC15,N,CDA,184
DC15,N,COPE,51123
DC15,N,DA,2551
DC15,N,GKSA,232
DC15,N,ID,322
DC15,N,IFP,648
DC15,N,KISS,98
DC15,N,MDP,732
DC15,N,MF,137
DC15,N,NADECO,320
DC15,N,NVP,220
DC15,N,PAC,1743
DC15,N,PAM,148
DC15,N,SADECO,188
DC15,N,UCDP,441
DC15,N,UDM,47902
DC15,N,UIF,446
DC15,N,VF+,195
DC15,N,WF,60
DC15,P,ACDP,1854
DC15,P,AIC,3244
DC15,P,ANC,395853
DC15,P,APC,1012
DC15,P,AZAPO,423
DC15,P,CDA,224
DC15,P,COPE,50336
DC15,P,DA,2057
DC15,P,ID,327
DC15,P,IFP,710
DC15,P,NADECO,576
DC15,P,NVP,272
DC15,P,PAC,1804
DC15,P,PAM,185
DC15,P,UCDP,432
DC15,P,UDM,49032
DC15,P,VF+,294
DC16,N,ACDP,341
DC16,N,AFD,8
DC16,N,AJ,14
DC16,N,ANC,32912
DC16,N,AP,10
DC16,N,APC,134
DC16,N,AZAPO,75
DC16,N,CDA,8
DC16,N,COPE,5673
DC16,N,DA,4940
DC16,N,GKSA,30
DC16,N,ID,191
DC16,N,IFP,29
DC16,N,KISS,4
DC16,N,MDP,85
DC16,N,MF,12
DC16,N,NADECO,28
DC16,N,NVP,14
DC16,N,PAC,208
DC16,N,PAM,8
DC16,N,SADECO,7
DC16,N,UCDP,20
DC16,N,UDM,56
DC16,N,UIF,19
DC16,N,VF+,916
DC16,N,WF,13
DC16,P,ACDP,342
DC16,P,ANC,32254
DC16,P,APC,144
DC16,P,COPE,5957
DC16,P,DA,4502
DC16,P,DPSA,37
DC16,P,ID,202
DC16,P,IFP,39
DC16,P,NADECO,37
DC16,P,PAC,224
DC16,P,PJC,7
DC16,P,UCDP,26
DC16,P,UDM,78
DC16,P,VF+,1016
DC17,N,ACDP,2475
DC17,N,AFD,69
DC17,N,AJ,71
DC17,N,ANC,210370
DC17,N,AP,31
DC17,N,APC,626
DC17,N,AZAPO,738
DC17,N,CDA,220
DC17,N,COPE,43348
DC17,N,DA,50595
DC17,N,GKSA,178
DC17,N,ID,717
DC17,N,IFP,215
DC17,N,KISS,51
DC17,N,MDP,404
DC17,N,MF,39
DC17,N,NADECO,144
DC17,N,NVP,78
DC17,N,PAC,862
DC17,N,PAM,73
DC17,N,SADECO,75
DC17,N,UCDP,2627
DC17,N,UDM,652
DC17,N,UIF,101
DC17,N,VF+,6127
DC17,N,WF,60
DC17,P,ACDP,2626
DC17,P,ANC,207372
DC17,P,APC,693
DC17,P,COPE,44723
DC17,P,DA,46449
DC17,P,DPSA,778
DC17,P,ID,641
DC17,P,IFP,205
DC17,P,NADECO,246
DC17,P,PAC,963
DC17,P,PJC,94
DC17,P,UCDP,2908
DC17,P,UDM,737
DC17,P,VF+,8749
DC18,N,ACDP,1158
DC18,N,AFD,53
DC18,N,AJ,68
DC18,N,ANC,172091
DC18,N,AP,30
DC18,N,APC,506
DC18,N,AZAPO,776
DC18,N,CDA,62
DC18,N,COPE,27214
DC18,N,DA,28320
DC18,N,GKSA,118
DC18,N,ID,257
DC18,N,IFP,291
DC18,N,KISS,37
DC18,N,MDP,369
DC18,N,MF,34
DC18,N,NADECO,95
DC18,N,NVP,69
DC18,N,PAC,526
DC18,N,PAM,33
DC18,N,SADECO,58
DC18,N,UCDP,155
DC18,N,UDM,1029
DC18,N,UIF,53
DC18,N,VF+,2951
DC18,N,WF,41
DC18,P,ACDP,1135
DC18,P,ANC,168391
DC18,P,APC,551
DC18,P,COPE,27863
DC18,P,DA,27906
DC18,P,DPSA,231
DC18,P,ID,262
DC18,P,IFP,283
DC18,P,NADECO,177
DC18,P,PAC,610
DC18,P,PJC,94
DC18,P,UCDP,180
DC18,P,UDM,1104
DC18,P,VF+,3283
DC19,N,ACDP,2144
DC19,N,AFD,190
DC19,N,AJ,127
DC19,N,ANC,212156
DC19,N,AP,87
DC19,N,APC,1247
DC19,N,AZAPO,1626
DC19,N,CDA,207
DC19,N,COPE,18664
DC19,N,DA,17294
DC19,N,GKSA,344
DC19,N,ID,347
DC19,N,IFP,1335
DC19,N,KISS,85
DC19,N,MDP,666
DC19,N,MF,62
DC19,N,NADECO,278
DC19,N,NVP,115
DC19,N,PAC,918
DC19,N,PAM,130
DC19,N,SADECO,133
DC19,N,UCDP,191
DC19,N,UDM,630
DC19,N,UIF,169
DC19,N,VF+,2523
DC19,N,WF,80
DC19,P,ACDP,2154
DC19,P,ANC,201797
DC19,P,APC,1223
DC19,P,COPE,18783
DC19,P,DA,16093
DC19,P,DPSA,9953
DC19,P,ID,292
DC19,P,IFP,1333
DC19,P,NADECO,452
DC19,P,PAC,1010
DC19,P,PJC,151
DC19,P,UCDP,213
DC19,P,UDM,724
DC19,P,VF+,2781
DC2,N,ACDP,4011
DC2,N,AFD,69
DC2,N,AJ,315
DC2,N,ANC,77384
DC2,N,AP,61
DC2,N,APC,359
DC2,N,AZAPO,213
DC2,N,CDA,276
DC2,N,COPE,25297
DC2,N,DA,110365
DC2,N,GKSA,128
DC2,N,ID,19648
DC2,N,IFP,209
DC2,N,KISS,156
DC2,N,MDP,322
DC2,N,MF,88
DC2,N,NADECO,171
DC2,N,NVP,103
DC2,N,PAC,323
DC2,N,PAM,86
DC2,N,SADECO,42
DC2,N,UCDP,194
DC2,N,UDM,1224
DC2,N,UIF,361
DC2,N,VF+,2942
DC2,N,WF,62
DC2,P,ACDP,3562
DC2,P,AJ,283
DC2,P,AMP,159
DC2,P,ANC,72416
DC2,P,APC,344
DC2,P,AZAPO,247
DC2,P,CAPE,485
DC2,P,CDA,392
DC2,P,COPE,21896
DC2,P,DA,114019
DC2,P,ID,19835
DC2,P,IFP,200
DC2,P,NA,392
DC2,P,NADECO,126
DC2,P,NP,562
DC2,P,PAC,316
DC2,P,PJC,64
DC2,P,UCDP,242
DC2,P,UDM,1122
DC2,P,UIF,382
DC2,P,UP,61
DC2,P,VF+,1385
DC20,N,ACDP,1291
DC20,N,AFD,33
DC20,N,AJ,43
DC20,N,ANC,128728
DC20,N,AP,24
DC20,N,APC,578
DC20,N,AZAPO,712
DC20,N,CDA,70
DC20,N,COPE,21926
DC20,N,DA,25902
DC20,N,GKSA,98
DC20,N,ID,273
DC20,N,IFP,390
DC20,N,KISS,20
DC20,N,MDP,273
DC20,N,MF,22
DC20,N,NADECO,88
DC20,N,NVP,38
DC20,N,PAC,488
DC20,N,PAM,43
DC20,N,SADECO,34
DC20,N,UCDP,102
DC20,N,UDM,1040
DC20,N,UIF,73
DC20,N,VF+,4384
DC20,N,WF,44
DC20,P,ACDP,1299
DC20,P,ANC,124874
DC20,P,APC,589
DC20,P,COPE,22692
DC20,P,DA,24894
DC20,P,DPSA,258
DC20,P,ID,257
DC20,P,IFP,372
DC20,P,NADECO,153
DC20,P,PAC,642
DC20,P,PJC,52
DC20,P,UCDP,132
DC20,P,UDM,1079
DC20,P,VF+,4951
DC21,N,ACDP,1478
DC21,N,AFD,145
DC21,N,AJ,270
DC21,N,ANC,183738
DC21,N,AP,73
DC21,N,APC,460
DC21,N,AZAPO,703
DC21,N,CDA,75
DC21,N,COPE,3822
DC21,N,DA,22768
DC21,N,GKSA,109
DC21,N,ID,252
DC21,N,IFP,35146
DC21,N,KISS,120
DC21,N,MDP,1059
DC21,N,MF,1603
DC21,N,NADECO,408
DC21,N,NVP,117
DC21,N,PAC,186
DC21,N,PAM,72
DC21,N,SADECO,130
DC21,N,UCDP,108
DC21,N,UDM,508
DC21,N,UIF,231
DC21,N,VF+,919
DC21,N,WF,79
DC21,P,ACDP,1537
DC21,P,AJ,287
DC21,P,ANC,180859
DC21,P,APC,501
DC21,P,COPE,3358
DC21,P,DA,19130
DC21,P,GKSA,127
DC21,P,ID,262
DC21,P,IFP,37905
DC21,P,MF,2215
DC21,P,NADECO,717
DC21,P,PAC,275
DC21,P,SADECO,232
DC21,P,UCDP,137
DC21,P,UDM,496
DC21,P,VF+,724
DC21,P,WF,131
DC22,N,ACDP,3147
DC22,N,AFD,128
DC22,N,AJ,653
DC22,N,ANC,276032
DC22,N,AP,48
DC22,N,APC,407
DC22,N,AZAPO,832
DC22,N,CDA,104
DC22,N,COPE,5918
DC22,N,DA,43691
DC22,N,GKSA,93
DC22,N,ID,753
DC22,N,IFP,31723
DC22,N,KISS,105
DC22,N,MDP,771
DC22,N,MF,1322
DC22,N,NADECO,288
DC22,N,NVP,110
DC22,N,PAC,210
DC22,N,PAM,51
DC22,N,SADECO,206
DC22,N,UCDP,139
DC22,N,UDM,1187
DC22,N,UIF,172
DC22,N,VF+,446
DC22,N,WF,164
DC22,P,ACDP,3352
DC22,P,AJ,710
DC22,P,ANC,273919
DC22,P,APC,429
DC22,P,COPE,4838
DC22,P,DA,41518
DC22,P,GKSA,109
DC22,P,ID,585
DC22,P,IFP,35439
DC22,P,MF,2422
DC22,P,NADECO,539
DC22,P,PAC,246
DC22,P,SADECO,300
DC22,P,UCDP,190
DC22,P,UDM,1200
DC22,P,VF+,322
DC22,P,WF,237
DC23,N,ACDP,880
DC23,N,AFD,155
DC23,N,AJ,395
DC23,N,ANC,115975
DC23,N,AP,82
DC23,N,APC,330
DC23,N,AZAPO,529
DC23,N,CDA,54
DC23,N,COPE,1143
DC23,N,DA,8139
DC23,N,GKSA,126
DC23,N,ID,253
DC23,N,IFP,71879
DC23,N,KISS,233
DC23,N,MDP,625
DC23,N,MF,858
DC23,N,NADECO,479
DC23,N,NVP,127
DC23,N,PAC,120
DC23,N,PAM,46
DC23,N,SADECO,156
DC23,N,UCDP,72
DC23,N,UDM,214
DC23,N,UIF,207
DC23,N,VF+,449
DC23,N,WF,55
DC23,P,ACDP,943
DC23,P,AJ,427
DC23,P,ANC,111584
DC23,P,APC,351
DC23,P,COPE,1034
DC23,P,DA,6996
DC23,P,GKSA,151
DC23,P,ID,320
DC23,P,IFP,75382
DC23,P,MF,1235
DC23,P,NADECO,648
DC23,P,PAC,191
DC23,P,SADECO,283
DC23,P,UCDP,100
DC23,P,UDM,259
DC23,P,VF+,400
DC23,P,WF,89
DC24,N,ACDP,644
