code,ballot,winner,valid,spoilt
KZN433,N,ANC,22912,437
KZN433,P,ANC,21786,402
KZN434,N,ANC,33545,608
KZN434,P,ANC,33700,478
KZN435,N,ANC,55099,596
KZN435,P,ANC,53890,504
KZNDMA22,N,ANC,54,1
KZNDMA22,P,ANC,53,1
KZNDMA23,N,ANC,619,5
KZNDMA23,P,ANC,473,7
KZNDMA27,N,ANC,1367,19
KZNDMA27,P,ANC,1191,17
KZNDMA43,N,ANC,130,1
KZNDMA43,P,ANC,124,0
LIM331,N,ANC,74464,999
LIM331,P,ANC,72380,946
LIM332,N,ANC,67934,771
LIM332,P,ANC,65731,853
LIM333,N,ANC,121016,1703
LIM333,P,ANC,118832,1802
LIM334,N,ANC,44467,606
LIM334,P,ANC,43191,658
LIM335,N,ANC,31446,383
LIM335,P,ANC,30106,364
LIM341,N,ANC,14814,214
LIM341,P,ANC,14344,198
LIM342,N,ANC,29405,311
LIM342,P,ANC,28979,291
LIM343,N,ANC,182984,2517
LIM343,P,ANC,178545,2416
LIM344,N,ANC,151759,1946
LIM344,P,ANC,147746,1904
LIM351,N,ANC,42367,611
LIM351,P,ANC,41137,565
LIM352,N,ANC,38241,626
LIM352,P,ANC,37007,563
LIM353,N,ANC,29980,388
LIM353,P,ANC,29020,353
LIM354,N,ANC,163970,2307
LIM354,P,ANC,159165,2130
LIM355,N,ANC,60115,1292
LIM355,P,ANC,58052,1197
LIM361,N,ANC,27583,395
LIM361,P,ANC,23879,360
LIM362,N,ANC,29808,344
LIM362,P,ANC,28574,330
LIM364,N,ANC,11376,149
LIM364,P,ANC,10958,124
LIM365,N,ANC,22396,416
LIM365,P,ANC,21645,389
LIM366,N,ANC,20699,554
LIM366,P,ANC,19226,537
LIM367,N,ANC,87995,1203
LIM367,P,ANC,85159,1155
LIM471,N,ANC,34754,620
LIM471,P,ANC,33252,722
LIM472,N,ANC,70009,1263
LIM472,P,ANC,65074,1793
LIM473,N,ANC,75100,1302
LIM473,P,ANC,71925,1159
LIM474,N,ANC,28218,495
LIM474,P,ANC,26870,413
LIM475,N,ANC,85652,1522
LIM475,P,ANC,79614,1324
LIMDMA33,N,ANC,996,10
LIMDMA33,P,ANC,661,3
MP301,N,ANC,64537,952
MP301,P,ANC,63337,887
MP302,N,ANC,51443,813
MP302,P,ANC,50663,828
MP303,N,ANC,49091,851
MP303,P,ANC,47477,764
MP304,N,ANC,26082,449
MP304,P,ANC,25404,449
MP305,N,ANC,39575,625
MP305,P,ANC,38636,540
MP306,N,ANC,15621,241
MP306,P,ANC,14754,188
MP307,N,ANC,107083,1809
MP307,P,ANC,102184,1731
MP311,N,ANC,23163,377
MP311,P,ANC,21986,363
MP312,N,ANC,135332,2026
MP312,P,ANC,128363,1895
MP313,N,ANC,79037,955
MP313,P,ANC,74781,1020
MP314,N,ANC,19531,269
MP314,P,ANC,18881,256
MP315,N,ANC,103644,2062
MP315,P,ANC,100270,2071
MP316,N,ANC,81010,1464
MP316,P,ANC,78374,1338
MP321,N,ANC,34791,620
MP321,P,ANC,32888,505
MP322,N,ANC,212395,2239
MP322,P,ANC,207546,2111
MP323,N,ANC,23468,418
MP323,P,ANC,23199,375
MP324,N,ANC,117093,1431
MP324,P,ANC,114438,1359
MP325,N,ANC,157191,2951
MP325,P,ANC,152743,2411
MPDMA32,N,ANC,2953,24
MPDMA32,P,ANC,1851,28
NC061,N,ANC,5076,69
NC061,P,ANC,4922,47
NC062,N,ANC,18905,170
NC062,P,ANC,18628,151
NC064,N,ANC,4695,66
NC064,P,ANC,4651,45
NC065,N,ANC,8338,94
NC065,P,ANC,8169,92
NC066,N,ANC,4634,61
NC066,P,ANC,4502,55
NC067,N,ANC,4842,36
NC067,P,ANC,4662,43
NC071,N,ANC,6745,103
NC071,P,ANC,6624,89
NC072,N,ANC,10797,217
NC072,P,ANC,10356,159
NC073,N,ANC,16150,241
NC073,P,ANC,15756,258
NC074,N,ANC,4823,122
NC074,P,ANC,4775,96
NC075,N,ANC,4419,54
NC075,P,ANC,4333,51
NC076,N,ANC,6077,64
NC076,P,ANC,5940,56
NC077,N,ANC,8051,123
NC077,P,ANC,7967,124
NC078,N,ANC,12657,235
NC078,P,ANC,12327,244
NC081,N,ANC,3595,39
NC081,P,ANC,3503,29
NC082,N,ANC,17726,489
NC082,P,ANC,17320,351
NC083,N,ANC,33604,376
NC083,P,ANC,33042,361
NC084,N,ANC,6094,63
NC084,P,ANC,6062,55
NC085,N,ANC,11116,159
NC085,P,ANC,10614,156
NC086,N,ANC,6645,102
NC086,P,ANC,6461,99
NC091,N,ANC,93202,1286
NC091,P,ANC,90845,1160
NC092,N,ANC,15619,415
NC092,P,ANC,15485,379
NC093,N,ANC,8708,145
NC093,P,ANC,8466,102
NC094,N,ANC,22124,367
NC094,P,ANC,21264,322
NC451,N,ANC,29737,959
NC451,P,ANC,29100,841
NC452,N,ANC,30742,530
NC452,P,ANC,30116,498
NC453,N,ANC,12596,209
NC453,P,ANC,12247,167
NCDMA06,N,DA,394,4
NCDMA06,P,DA,380,6
NCDMA07,N,ANC,756,12
NCDMA07,P,ANC,717,8
NCDMA08,N,ANC,1753,43
NCDMA08,P,ANC,1633,41
NCDMA09,N,ANC,1126,53
NCDMA09,P,ANC,1105,52
NCDMA45,N,ANC,2656,66
NCDMA45,P,ANC,2446,53
NW371,N,ANC,64601,1193
NW371,P,ANC,62546,1165
NW372,N,ANC,152668,2351
NW372,P,ANC,144922,2254
NW373,N,ANC,172422,3302
NW373,P,ANC,161622,3179
NW374,N,ANC,13864,295
NW374,P,ANC,13619,286
NW375,N,ANC,81920,1592
NW375,P,ANC,79251,1510
NW381,N,ANC,30201,959
NW381,P,ANC,29845,800
NW382,N,ANC,33681,776
NW382,P,ANC,33140,755
NW383,N,ANC,85908,1943
NW383,P,ANC,84176,1888
NW384,N,ANC,49073,1040
NW384,P,ANC,48419,978
NW385,N,ANC,42269,1085
NW385,P,ANC,41439,906
NW391,N,ANC,28634,959
NW391,P,ANC,28125,953
NW392,N,ANC,21079,524
NW392,P,ANC,20569,493
NW393,N,ANC,18024,473
